segment_id	start_time_seconds	end_time_seconds	label
cUAe_N9oODs_0	0.148	2.329	other
cUAe_N9oODs_0	0.16	10.0	other
cUAe_N9oODs_0	0.363	0.883	other
cUAe_N9oODs_0	0.964	1.135	other
cUAe_N9oODs_0	1.419	1.793	/m/05tny_
cUAe_N9oODs_0	2.556	2.816	other
cUAe_N9oODs_0	2.979	3.539	other
cUAe_N9oODs_0	3.255	4.847	other
cUAe_N9oODs_0	3.645	3.775	other
cUAe_N9oODs_0	4.1	4.311	/m/05tny_
cUAe_N9oODs_0	4.311	4.449	other
cUAe_N9oODs_0	4.847	5.107	other
cUAe_N9oODs_0	5.123	5.237	other
cUAe_N9oODs_0	5.261	7.658	other
cUAe_N9oODs_0	6.504	7.024	other
cUAe_N9oODs_0	7.268	7.414	other
cUAe_N9oODs_0	7.512	7.641	other
cUAe_N9oODs_0	7.804	10.0	other
cUAe_N9oODs_0	8.356	8.608	/m/05tny_
cUAe_N9oODs_0	8.714	8.941	other
cUAe_N9oODs_0	9.094	10.0	other
cUAe_N9oODs_0	9.128	9.282	other
cUAe_N9oODs_0	9.412	9.575	other
cUAe_N9oODs_0	9.745	9.916	other
YdFfhvxPe2g_70000	0.0	9.465	other
YdFfhvxPe2g_70000	1.488	1.882	other
YdFfhvxPe2g_70000	2.22	2.449	/m/05tny_
YdFfhvxPe2g_70000	2.787	3.157	other
YdFfhvxPe2g_70000	3.016	3.063	other
YdFfhvxPe2g_70000	3.622	3.685	other
YdFfhvxPe2g_70000	3.984	4.283	other
YdFfhvxPe2g_70000	4.354	5.094	other
YdFfhvxPe2g_70000	5.354	5.701	other
YdFfhvxPe2g_70000	5.921	6.252	other
YdFfhvxPe2g_70000	5.984	6.134	other
YdFfhvxPe2g_70000	6.299	6.394	other
YdFfhvxPe2g_70000	6.37	6.787	other
YdFfhvxPe2g_70000	6.583	6.772	other
YdFfhvxPe2g_70000	6.906	7.26	other
YdFfhvxPe2g_70000	7.315	7.394	other
YdFfhvxPe2g_70000	7.472	7.591	other
YdFfhvxPe2g_70000	7.638	8.11	other
YdFfhvxPe2g_70000	7.748	7.843	other
YdFfhvxPe2g_70000	8.0	8.157	other
YdFfhvxPe2g_70000	8.094	8.378	other
YdFfhvxPe2g_70000	8.346	8.528	other
YdFfhvxPe2g_70000	8.63	8.906	other
YdFfhvxPe2g_70000	9.063	9.15	other
YdFfhvxPe2g_70000	9.26	9.323	other
g_XV8FlSEn4_30000	0.0	10.0	other
g_XV8FlSEn4_30000	0.09	0.482	/m/05tny_
g_XV8FlSEn4_30000	0.369	1.844	other
g_XV8FlSEn4_30000	0.843	1.497	/m/05tny_
g_XV8FlSEn4_30000	1.889	2.483	/m/05tny_
g_XV8FlSEn4_30000	2.107	2.904	other
g_XV8FlSEn4_30000	3.017	3.273	/m/05tny_
g_XV8FlSEn4_30000	3.19	4.063	other
g_XV8FlSEn4_30000	3.394	3.664	/m/05tny_
g_XV8FlSEn4_30000	4.432	5.094	/m/05tny_
g_XV8FlSEn4_30000	4.643	6.057	other
g_XV8FlSEn4_30000	6.223	6.396	/m/05tny_
g_XV8FlSEn4_30000	6.26	7.577	other
g_XV8FlSEn4_30000	6.524	6.772	/m/05tny_
g_XV8FlSEn4_30000	6.892	7.186	/m/05tny_
g_XV8FlSEn4_30000	7.682	7.968	other
g_XV8FlSEn4_30000	7.953	8.141	/m/05tny_
g_XV8FlSEn4_30000	8.021	9.436	other
g_XV8FlSEn4_30000	8.269	8.473	/m/05tny_
g_XV8FlSEn4_30000	8.578	8.811	/m/05tny_
g_XV8FlSEn4_30000	9.518	9.684	/m/05tny_
g_XV8FlSEn4_30000	9.609	10.0	other
g_XV8FlSEn4_30000	9.85	10.0	/m/05tny_
BDY9T3K1qDk_13000	0.0	9.329	other
BDY9T3K1qDk_13000	2.519	3.057	other
BDY9T3K1qDk_13000	3.01	3.541	other
BDY9T3K1qDk_13000	4.4	4.591	other
BDY9T3K1qDk_13000	5.484	5.648	other
BDY9T3K1qDk_13000	6.731	7.086	other
BDY9T3K1qDk_13000	7.434	8.081	other
BDY9T3K1qDk_13000	8.354	8.838	other
BDY9T3K1qDk_13000	8.858	9.226	/m/05tny_
BDY9T3K1qDk_13000	9.172	9.329	other
2mtOnPaSx3A_30000	0.0	0.229	other
2mtOnPaSx3A_30000	0.0	2.603	other
2mtOnPaSx3A_30000	0.0	10.0	other
2mtOnPaSx3A_30000	0.401	0.573	other
2mtOnPaSx3A_30000	0.883	1.089	other
2mtOnPaSx3A_30000	1.456	1.72	other
2mtOnPaSx3A_30000	1.892	2.282	other
2mtOnPaSx3A_30000	2.5	2.603	other
2mtOnPaSx3A_30000	2.844	3.257	other
2mtOnPaSx3A_30000	2.856	3.028	other
2mtOnPaSx3A_30000	3.463	3.819	other
2mtOnPaSx3A_30000	4.002	4.472	other
2mtOnPaSx3A_30000	4.025	4.346	other
2mtOnPaSx3A_30000	4.656	5.183	other
2mtOnPaSx3A_30000	4.713	5.252	other
2mtOnPaSx3A_30000	5.424	5.55	other
2mtOnPaSx3A_30000	5.665	5.917	other
2mtOnPaSx3A_30000	5.677	6.17	other
2mtOnPaSx3A_30000	6.273	6.56	other
2mtOnPaSx3A_30000	7.099	7.282	other
2mtOnPaSx3A_30000	7.993	8.406	/m/05tny_
2mtOnPaSx3A_30000	8.372	10.0	other
2mtOnPaSx3A_30000	8.417	8.555	other
2mtOnPaSx3A_30000	9.197	9.358	other
2mtOnPaSx3A_30000	9.644	9.862	other
IwU1aHKGreA_250000	0.0	0.663	other
IwU1aHKGreA_250000	0.0	1.484	other
IwU1aHKGreA_250000	0.0	10.0	other
IwU1aHKGreA_250000	0.0	10.0	other
IwU1aHKGreA_250000	1.086	1.237	other
IwU1aHKGreA_250000	1.2	1.863	other
IwU1aHKGreA_250000	1.263	10.0	other
IwU1aHKGreA_250000	1.871	2.054	other
IwU1aHKGreA_250000	2.179	2.368	other
IwU1aHKGreA_250000	2.589	2.789	other
IwU1aHKGreA_250000	2.958	3.663	other
IwU1aHKGreA_250000	2.958	4.705	other
IwU1aHKGreA_250000	3.211	3.505	other
IwU1aHKGreA_250000	3.6	3.884	other
IwU1aHKGreA_250000	4.053	4.179	other
IwU1aHKGreA_250000	4.204	4.419	/m/05tny_
IwU1aHKGreA_250000	4.326	4.421	other
IwU1aHKGreA_250000	4.842	6.516	other
IwU1aHKGreA_250000	4.863	5.221	other
IwU1aHKGreA_250000	6.053	6.526	other
IwU1aHKGreA_250000	6.537	6.779	other
IwU1aHKGreA_250000	6.863	7.484	other
IwU1aHKGreA_250000	7.263	8.705	other
IwU1aHKGreA_250000	7.747	8.032	other
IwU1aHKGreA_250000	8.063	8.516	other
IwU1aHKGreA_250000	8.674	8.789	other
IwU1aHKGreA_250000	8.758	9.053	other
IwU1aHKGreA_250000	9.105	9.389	other
IwU1aHKGreA_250000	9.526	9.779	other
IwU1aHKGreA_250000	9.785	10.0	other
JII-fsX8gxE_30000	0.0	10.0	other
JII-fsX8gxE_30000	0.0	10.0	other
JII-fsX8gxE_30000	0.0	0.707	other
JII-fsX8gxE_30000	0.309	0.768	other
JII-fsX8gxE_30000	0.391	1.196	other
JII-fsX8gxE_30000	0.414	0.64	other
JII-fsX8gxE_30000	0.843	1.324	other
JII-fsX8gxE_30000	1.121	1.4	other
JII-fsX8gxE_30000	1.234	1.55	other
JII-fsX8gxE_30000	1.67	5.719	other
JII-fsX8gxE_30000	1.693	2.137	other
JII-fsX8gxE_30000	2.649	2.935	other
JII-fsX8gxE_30000	3.062	3.642	other
JII-fsX8gxE_30000	3.168	4.229	other
JII-fsX8gxE_30000	4.605	4.816	other
JII-fsX8gxE_30000	5.019	5.335	other
JII-fsX8gxE_30000	5.395	7.163	other
JII-fsX8gxE_30000	5.463	5.756	other
JII-fsX8gxE_30000	7.013	7.239	other
JII-fsX8gxE_30000	7.141	7.374	other
JII-fsX8gxE_30000	7.412	7.592	other
JII-fsX8gxE_30000	7.652	8.405	other
JII-fsX8gxE_30000	7.72	7.968	other
JII-fsX8gxE_30000	8.284	9.534	other
JII-fsX8gxE_30000	8.315	8.518	other
JII-fsX8gxE_30000	8.736	9.752	other
JII-fsX8gxE_30000	8.811	9.007	other
JII-fsX8gxE_30000	9.85	10.0	/m/05tny_
ZU-zJHTAUt8_30000	0.0	4.372	other
ZU-zJHTAUt8_30000	0.0	10.0	other
ZU-zJHTAUt8_30000	1.385	1.43	other
ZU-zJHTAUt8_30000	1.723	1.776	other
ZU-zJHTAUt8_30000	2.047	2.099	other
ZU-zJHTAUt8_30000	2.754	2.814	other
ZU-zJHTAUt8_30000	3.491	3.544	other
ZU-zJHTAUt8_30000	4.507	4.56	other
ZU-zJHTAUt8_30000	4.605	5.47	/m/05tny_
ZU-zJHTAUt8_30000	4.635	10.0	other
ZU-zJHTAUt8_30000	9.714	9.782	other
O7rh8IRAtDs_490000	0.0	0.182	other
O7rh8IRAtDs_490000	0.0	0.67	other
O7rh8IRAtDs_490000	0.0	10.0	other
O7rh8IRAtDs_490000	0.349	1.634	other
O7rh8IRAtDs_490000	1.075	3.827	other
O7rh8IRAtDs_490000	1.327	4.441	other
O7rh8IRAtDs_490000	1.885	2.263	/m/05tny_
O7rh8IRAtDs_490000	3.464	3.98	/m/05tny_
O7rh8IRAtDs_490000	4.092	4.609	other
O7rh8IRAtDs_490000	4.483	6.648	other
O7rh8IRAtDs_490000	5.279	9.064	other
O7rh8IRAtDs_490000	7.291	8.939	other
O7rh8IRAtDs_490000	7.723	10.0	other
O7rh8IRAtDs_490000	9.12	9.539	other
O7rh8IRAtDs_490000	9.791	10.0	other
sPy_cVjF1mA_310000	0.0	0.363	other
sPy_cVjF1mA_310000	0.0	10.0	other
sPy_cVjF1mA_310000	0.192	0.265	other
sPy_cVjF1mA_310000	0.55	0.672	other
sPy_cVjF1mA_310000	0.777	1.094	other
sPy_cVjF1mA_310000	0.915	1.906	other
sPy_cVjF1mA_310000	1.159	1.256	other
sPy_cVjF1mA_310000	1.305	1.565	other
sPy_cVjF1mA_310000	2.004	2.792	other
sPy_cVjF1mA_310000	2.629	3.304	other
sPy_cVjF1mA_310000	3.027	3.125	other
sPy_cVjF1mA_310000	3.661	4.027	other
sPy_cVjF1mA_310000	4.36	4.449	other
sPy_cVjF1mA_310000	5.091	5.188	other
sPy_cVjF1mA_310000	5.546	7.284	other
sPy_cVjF1mA_310000	5.789	5.903	other
sPy_cVjF1mA_310000	6.066	7.601	other
sPy_cVjF1mA_310000	7.349	7.447	other
sPy_cVjF1mA_310000	7.576	8.876	other
sPy_cVjF1mA_310000	8.178	8.405	other
sPy_cVjF1mA_310000	9.071	10.0	/m/05tny_
xk2PJK9E2Q0_50000	0.0	0.485	other
xk2PJK9E2Q0_50000	0.0	10.0	other
xk2PJK9E2Q0_50000	0.608	0.918	other
xk2PJK9E2Q0_50000	1.309	1.495	other
xk2PJK9E2Q0_50000	1.722	1.866	other
xk2PJK9E2Q0_50000	2.031	2.134	other
xk2PJK9E2Q0_50000	2.258	2.395	other
xk2PJK9E2Q0_50000	2.581	2.732	other
xk2PJK9E2Q0_50000	3.055	3.22	other
xk2PJK9E2Q0_50000	3.55	3.763	other
xk2PJK9E2Q0_50000	6.127	6.361	/m/05tny_
xk2PJK9E2Q0_50000	6.567	6.856	other
xk2PJK9E2Q0_50000	7.22	7.969	other
xk2PJK9E2Q0_50000	8.34	8.567	other
OMZPBXsM9ig_30000	9.441	9.669	/m/05tny_
OMZPBXsM9ig_30000	7.992	8.142	other
OMZPBXsM9ig_30000	0.0	10.0	other
OMZPBXsM9ig_30000	9.866	10.0	other
1lYGmjMTmZw_10000	0.0	0.922	other
1lYGmjMTmZw_10000	0.0	10.0	other
1lYGmjMTmZw_10000	0.182	0.726	/m/05tny_
1lYGmjMTmZw_10000	1.145	1.257	other
1lYGmjMTmZw_10000	1.341	1.858	other
1lYGmjMTmZw_10000	1.844	2.584	other
1lYGmjMTmZw_10000	2.626	4.148	other
1lYGmjMTmZw_10000	3.743	3.855	other
1lYGmjMTmZw_10000	4.148	5.489	other
